baby_id,name,gender,date
B045,Tara,Male,2025-02-25
B069,Mary,Male,2024-08-28
B025,Charles,Male,2025-04-19
B045,Tara,Male,2025-03-14
B035,Christopher,Male,2024-12-21
B008,Jerome,Male,2024-12-07
B040,Tamara,Male,2024-12-28
B068,Martha,Male,2025-05-03
B009,Christopher,Female,2025-06-30
B029,Adam,Female,2024-11-01
B017,Erin,Male,2024-11-10
B047,Carmen,Female,2024-11-12
B067,Lindsay,Male,2024-09-29
B019,Robin,Female,2025-03-09
B013,Michael,Female,2025-05-07
B006,Wendy,Male,2025-03-08
B066,Casey,Female,2025-03-19
B023,Shannon,Male,2025-01-18
B002,Nicole,Female,2025-08-14
B002,Nicole,Female,2025-08-24
B033,Jason,Female,2025-01-12
B051,Daniel,Male,2024-09-06
B023,Shannon,Male,2025-02-02
B032,Abigail,Male,2025-08-13
B033,Jason,Female,2025-01-19
B047,Carmen,Female,2024-10-22
B021,Jasmine,Female,2025-05-12
B045,Tara,Male,2025-03-15
B030,Anthony,Male,2025-06-28
